iter	MAPE	RMSE	MAE
0	0.5168578386	24061.09513	18712.59914
1	0.5147928551	23963.75311	18639.93708
2	0.5123258651	23849.22533	18551.03568
3	0.5099448889	23742.92239	18474.67693
4	0.5076969947	23649.15641	18391.10709
5	0.5055299669	23547.84528	18304.82525
6	0.5034626443	23447.84034	18220.16552
7	0.5015527655	23357.77642	18145.52608
8	0.4989954877	23247.60795	18066.59993
9	0.4971051628	23162.92074	18008.71971
10	0.4953267751	23074.42521	17932.44675
11	0.4932150855	22978.78728	17854.75879
12	0.4911010925	22883.60365	17775.92684
13	0.4888667799	22799.03036	17712.04399
14	0.4867254026	22710.38051	17630.60293
15	0.4849731127	22649.67836	17576.77393
16	0.4832362738	22566.23439	17512.45565
17	0.4815168488	22481.16261	17447.11752
18	0.4794757932	22389.07839	17380.81331
19	0.4775529947	22306.98958	17314.04683
20	0.4767446343	22252.23658	17277.96998
21	0.4749929455	22157.04021	17212.05656
22	0.4730454184	22076.61558	17145.00945
23	0.4710250567	22003.10576	17091.70727
24	0.4697982471	21937.24677	17039.72175
25	0.4676936424	21843.87113	16971.41815
26	0.4668574227	21793.34924	16932.27813
27	0.4658746985	21741.79871	16893.80252
28	0.4647519796	21677.73036	16840.96861
29	0.462847504	21608.22049	16790.70905
30	0.4611182719	21525.81164	16729.3065
31	0.4593706517	21457.9537	16664.82475
32	0.4586517788	21417.36926	16632.79274
33	0.4576956009	21373.5168	16607.94827
34	0.4558954628	21301.04196	16537.42784
35	0.454194915	21245.17999	16497.97372
36	0.4526581235	21178.02165	16440.36611
37	0.4509312991	21111.49671	16392.5374
38	0.4489435583	21031.63336	16324.78016
39	0.4472377068	20955.64847	16259.65637
40	0.4462001346	20898.50637	16216.86345
41	0.4443988215	20825.36192	16151.2109
42	0.4425257814	20747.45613	16089.81968
43	0.4409114062	20687.85906	16034.27948
44	0.4395759535	20631.42154	15993.8624
45	0.438489471	20583.46546	15958.04347
46	0.4367715749	20523.07307	15908.68185
47	0.4356382023	20469.23979	15876.43589
48	0.4348592183	20416.43859	15841.44431
49	0.4339364462	20359.0022	15807.42204
50	0.4332023231	20303.16547	15772.80455
51	0.4318597909	20241.71071	15733.75685
52	0.4306234495	20198.5478	15697.17681
53	0.4291420876	20138.81058	15654.54513
54	0.4280523609	20090.71664	15616.12842
55	0.4271516644	20035.53645	15576.71202
56	0.4258669148	19985.69276	15531.50755
57	0.4247337468	19935.09389	15488.28694
58	0.4239811614	19888.72105	15453.76493
59	0.4227083043	19833.46942	15418.89451
60	0.4212470798	19772.16059	15375.1771
61	0.4197702451	19706.50596	15331.95325
62	0.4181454681	19649.44819	15287.5414
63	0.4164272282	19590.90068	15246.29794
64	0.4149016977	19539.75085	15204.59143
65	0.4134372941	19488.56078	15171.89371
66	0.4125431159	19434.53479	15141.83894
67	0.4116742219	19403.19827	15110.80384
68	0.4105203187	19341.49903	15065.93171
69	0.4089331627	19282.72823	15014.04826
70	0.4081845588	19245.23502	14987.3733
71	0.4074960739	19212.21712	14971.21979
72	0.4057539562	19158.96259	14926.46746
73	0.4047484442	19112.50525	14892.06633
74	0.403525905	19064.2016	14858.80823
75	0.4028033244	19028.32192	14840.57198
76	0.4016124886	18978.56113	14801.43715
77	0.4003355362	18927.99989	14762.20936
78	0.3988314237	18865.92334	14716.86949
79	0.3976503099	18812.63386	14681.02555
80	0.3972735632	18784.45289	14664.42865
81	0.3960254929	18733.56626	14626.19217
82	0.394435582	18680.98338	14585.43253
83	0.3935140136	18637.19522	14552.62662
84	0.3921532362	18597.92476	14521.01158
85	0.3907865755	18551.57068	14484.36583
86	0.3898984145	18520.05863	14465.44534
87	0.3888335238	18487.86514	14445.27763
88	0.3875865376	18437.71094	14398.01495
89	0.3868017886	18405.09993	14378.68687
90	0.3860186959	18370.73662	14354.24184
91	0.3851465409	18334.93291	14327.09452
92	0.3837367462	18279.36468	14278.24966
93	0.3829019209	18244.69876	14254.89719
94	0.3821288665	18206.48037	14220.85669
95	0.3808328991	18158.26733	14177.24816
96	0.3801290572	18129.19732	14158.05127
97	0.379055276	18096.01794	14134.14226
98	0.3780534779	18056.74047	14104.42369
99	0.3769967682	18020.40171	14070.12196
100	0.3757373287	17975.96181	14038.4524
101	0.3743284016	17935.38504	14002.46914
102	0.37338272	17892.28654	13967.54365
103	0.3722351328	17838.03337	13926.12763
104	0.372000687	17821.26791	13911.19754
105	0.3713537254	17795.36771	13891.51409
106	0.3707969435	17759.17257	13869.801
107	0.3693854762	17708.26676	13832.15554
108	0.3687336119	17669.00666	13807.13021
109	0.367571586	17633.41716	13784.68028
110	0.3667201182	17594.19356	13747.887
111	0.3651850593	17540.8559	13706.91784
112	0.3640302084	17499.94057	13681.25172
113	0.363066251	17462.12061	13646.44648
114	0.3625363194	17434.89102	13622.71568
115	0.361622343	17393.79405	13594.32851
116	0.3607874221	17359.08084	13567.44669
117	0.3600473789	17319.82241	13539.94892
118	0.3591765932	17283.70759	13514.90919
119	0.3582766814	17245.48329	13489.33849
120	0.3574719971	17199.64753	13459.1649
121	0.3566328064	17166.19478	13431.3932
122	0.3558630313	17137.37393	13408.72809
123	0.3548886937	17095.73236	13382.956
124	0.3540440225	17060.1533	13352.50485
125	0.3533030766	17029.11806	13329.82293
126	0.3523408695	16980.10595	13295.75725
127	0.3511179124	16933.60292	13256.14038
128	0.3501928075	16905.5252	13235.68901
129	0.3494168781	16868.36753	13206.69056
130	0.3489073284	16840.65719	13184.14652
131	0.3482823365	16808.22687	13157.6268
132	0.3478154614	16780.73011	13140.47972
133	0.3473547706	16751.3134	13126.98284
134	0.3466561869	16718.61579	13104.43234
135	0.3457314597	16683.27825	13082.02238
136	0.3449336738	16645.84432	13055.0611
137	0.3447736409	16634.10781	13047.88841
138	0.3443798174	16610.3059	13030.47618
139	0.3436038218	16580.15694	13008.3371
140	0.3428819692	16550.51079	12989.58136
141	0.3422086852	16522.94304	12969.26647
142	0.3414239025	16487.26935	12936.58906
143	0.3410591416	16469.82788	12928.1562
144	0.3404576818	16454.24789	12919.64452
145	0.3398450414	16426.25956	12902.85365
146	0.3391060192	16391.44606	12877.06109
147	0.3389424047	16383.70921	12873.13397
148	0.338409245	16358.72078	12854.31268
149	0.3375578156	16322.35797	12829.03224
150	0.3363821922	16284.2192	12799.09861
151	0.3354296693	16242.80422	12769.9424
152	0.3343750057	16206.08127	12744.07377
153	0.3337541704	16179.16762	12727.94096
154	0.3331082003	16155.34801	12710.51986
155	0.3325450543	16135.6322	12698.28094
156	0.3321464536	16109.8566	12682.36459
157	0.3314051478	16073.58242	12657.40199
158	0.3305499156	16039.60871	12634.65599
159	0.3300580968	16014.7442	12616.01049
160	0.3297283365	15991.90203	12599.98304
161	0.3288059842	15958.2534	12575.035
162	0.3285004118	15944.14387	12565.43752
163	0.3274595119	15914.64151	12542.38852
164	0.3267496224	15884.07043	12517.10729
165	0.3259040902	15855.76404	12499.73694
166	0.3250046656	15823.82548	12473.6218
167	0.3241715572	15800.66435	12459.56629
168	0.323405591	15759.48308	12433.42917
169	0.3230303384	15735.58	12415.9936
170	0.3227801773	15720.73769	12404.00586
171	0.3216793055	15682.00616	12375.7644
172	0.3214772667	15667.81382	12367.38488
173	0.3212094639	15650.16185	12354.26647
174	0.3206177728	15626.99281	12334.59552
175	0.3205027784	15616.85738	12329.74663
176	0.3201776689	15598.06994	12314.75214
177	0.3192686905	15561.61991	12283.67043
178	0.3189114685	15541.89557	12268.97219
179	0.3186201839	15527.52557	12262.49243
180	0.3181975125	15508.85208	12249.8733
181	0.3174626213	15482.9666	12230.31497
182	0.3172703189	15466.0162	12221.19536
183	0.3164972608	15435.80348	12196.96274
184	0.3156226064	15398.12196	12171.02366
185	0.3146110967	15358.98706	12141.10387
186	0.3143881651	15340.97202	12130.61559
187	0.3135869397	15306.22191	12105.03761
188	0.3129426491	15279.97177	12085.62143
189	0.3124320277	15251.77966	12065.50286
190	0.3118722326	15220.90871	12043.65074
191	0.3114732024	15201.56892	12031.60387
192	0.3110196245	15186.82267	12021.09683
193	0.3108797433	15177.05435	12015.32948
194	0.3105080736	15153.49171	11999.98768
195	0.3097443247	15127.85662	11980.35417
196	0.3091909986	15100.31473	11963.52364
197	0.3085024392	15071.17291	11945.83623
198	0.3081420522	15048.093	11933.54185
199	0.3074852124	15026.29167	11918.49939
200	0.3072020108	15009.19549	11905.06118
201	0.3067256679	14989.78111	11885.47876
202	0.3055543519	14954.34838	11854.56896
203	0.3049079516	14926.38416	11835.59247
204	0.3043738406	14909.70638	11820.40915
205	0.3041844959	14897.64026	11814.90028
206	0.3032625101	14872.27926	11792.16028
207	0.3031335963	14863.55912	11787.49394
208	0.3029677503	14853.2347	11782.19744
209	0.3020839609	14831.23499	11762.73772
210	0.3017970108	14814.22706	11751.6316
211	0.3009388393	14776.32576	11718.32472
212	0.3006097822	14759.31539	11703.15011
213	0.2998066697	14730.06866	11678.27735
214	0.2995030152	14717.47976	11671.82767
215	0.2988274153	14690.66119	11648.94016
216	0.2982694532	14663.38077	11629.32169
217	0.2979317396	14642.19342	11616.67258
218	0.2974828214	14623.36677	11604.65612
219	0.297420676	14615.29105	11599.52773
220	0.2968231382	14589.15784	11579.84337
221	0.2966613699	14576.48529	11572.07162
222	0.2962500521	14559.44883	11561.89235
223	0.2960685705	14548.84618	11555.51118
224	0.295710064	14532.30514	11541.22399
225	0.2950044423	14506.70889	11519.84369
226	0.2941888641	14476.76879	11494.01913
227	0.2933410716	14451.39257	11475.97201
228	0.2925256171	14421.97095	11450.24278
229	0.2925098484	14419.27868	11449.03147
230	0.2919051615	14394.77931	11432.46027
231	0.2912510569	14374.29754	11415.40885
232	0.2905097284	14347.00029	11396.48702
233	0.290207696	14333.78956	11384.09302
234	0.2898415432	14320.10025	11374.21485
235	0.2891238896	14286.46816	11350.87362
236	0.2889925666	14273.99536	11344.74694
237	0.2888733214	14267.91701	11339.93901
238	0.2886458425	14257.32882	11333.24507
239	0.2879783289	14231.69926	11313.44863
240	0.2874826484	14212.12274	11299.35972
241	0.2872479905	14198.48031	11290.48186
