iter	Passed	Remaining
0	3	19415
1	6	17482
2	10	16661
3	12	15913
4	15	15667
5	18	15737
6	21	15642
7	24	15356
8	27	15038
9	29	14893
10	32	14849
11	35	14804
12	38	14630
13	40	14435
14	43	14313
15	45	14178
16	48	14146
17	50	14076
18	53	13974
19	55	13870
20	58	13805
21	60	13714
22	63	13665
23	65	13627
24	68	13601
25	70	13567
26	73	13571
27	76	13581
28	79	13576
29	81	13583
30	84	13552
31	86	13505
32	88	13288
33	91	13311
34	93	13291
35	96	13303
36	99	13292
37	101	13259
38	104	13238
39	106	13217
40	109	13188
41	111	13180
42	114	13148
43	116	13139
44	119	13116
45	121	13108
46	124	13103
47	126	13084
48	129	13066
49	131	13055
50	134	13037
51	137	13036
52	139	13013
53	141	12996
54	144	12990
55	147	12980
56	149	12931
57	151	12913
58	154	12902
59	156	12890
60	159	12889
61	161	12888
62	164	12879
63	166	12879
64	169	12864
65	171	12854
66	174	12846
67	177	12843
68	179	12832
69	182	12846
70	185	12848
71	187	12844
72	190	12839
73	192	12833
74	195	12832
75	197	12828
76	200	12822
77	203	12824
78	206	12832
79	208	12818
80	210	12812
81	213	12802
82	216	12797
83	218	12792
84	221	12785
85	223	12780
86	226	12774
87	228	12763
88	231	12756
89	233	12754
90	236	12759
91	239	12761
92	241	12762
93	244	12755
94	247	12757
95	249	12754
96	252	12753
97	254	12753
98	257	12748
99	259	12738
100	262	12728
101	265	12732
102	268	12746
103	270	12741
104	273	12756
105	276	12752
106	278	12748
107	281	12745
108	282	12681
109	285	12677
110	288	12697
111	291	12723
112	294	12716
113	296	12714
114	298	12698
115	301	12700
116	304	12704
117	307	12703
118	309	12696
119	312	12693
120	314	12698
121	317	12691
122	319	12676
123	321	12656
124	324	12638
125	326	12620
126	328	12600
127	331	12601
128	333	12587
129	335	12569
130	337	12549
131	339	12531
132	341	12511
133	343	12491
134	346	12476
135	348	12464
136	350	12448
137	352	12431
138	354	12414
139	357	12396
140	359	12379
141	364	12459
142	367	12465
143	369	12460
144	371	12455
145	374	12441
146	376	12431
147	378	12417
148	380	12401
149	383	12384
150	385	12370
151	387	12363
152	389	12351
